State/ UTs,1951,1961,1971,1981,1991,2001,2011
Andaman and Nicobar Islands,30.30,40.07,51.15,63.19,73.02,81.30,86.63
Andhra Pradesh,,21.19,24.57,35.66,44.08,60.47,67.02
Arunachal Pradesh,,7.13,11.29,25.55,41.59,54.34,65.39
Assam,18.53,32.95,33.94,,52.89,63.25,72.19
Bihar,13.49,21.95,23.17,32.32,37.49,47.00,61.80
Chandigarh,,,70.43,74.80,77.81,81.94,86.05
Chhattisgarh,9.41,18.14,24.08,32.63,42.91,64.66,70.28
Dadra and Nagar Haveli,,,18.13,32.90,40.71,57.63,76.24
Daman and Diu,,,,,71.20,78.18,87.10
Delhi,,61.95,65.08,71.94,75.29,81.67,86.21
Goa,23.48,35.41,51.96,65.71,75.51,82.01,88.70
Gujarat,21.82,31.47,36.95,44.92,61.29,69.14,78.03
Haryana,,,25.71,37.13,55.85,67.91,75.55
Himachal Pradesh,,,,,63.86,76.48,82.80
Jammu and Kashmir,,12.95,21.71,30.64,,55.52,67.16
Jharkhand,12.93,21.14,23.87,35.03,41.39,53.56,66.41
Karnataka,,29.80,36.83,46.21,56.04,66.60,75.37
Kerala,47.18,55.08,69.75,78.85,89.81,90.86,94.00
Lakshadweep,15.23,27.15,51.76,68.42,81.78,86.66,91.85
Madhya Pradesh,13.16,21.41,27.27,38.63,44.67,63.74,69.32
Maharashtra,27.91,35.08,45.77,57.24,64.87,76.88,82.34
Manipur,12.57,36.04,38.47,49.66,59.89,70.50,76.90
Meghalaya,,26.92,29.49,42.05,49.10,62.56,74.43
Mizoram,31.14,44.01,53.80,59.88,82.26,88.80,91.33
Nagaland,10.52,21.95,33.78,50.28,61.65,66.59,79.60
Odisha,15.80,21.66,26.18,33.62,49.09,63.08,72.89
Puducherry,,43.65,53.38,65.14,74.74,81.24,85.85
Punjab,,,34.12,43.37,58.51,69.65,75.84
Rajasthan,8.50,18.12,22.57,30.11,38.55,60.41,66.11
Sikkim,,,17.74,34.05,56.94,68.81,81.42
Tamil Nadu,,36.39,45.40,54.39,62.66,73.45,80.09
Tripura,,20.24,30.98,50.10,60.44,73.19,87.22
Uttar Pradesh,12.02,20.87,23.99,32.65,40.71,56.27,67.68
Uttarakhand,18.93,18.05,33.26,46.06,57.75,71.62,78.82
West Bengal,24.61,34.46,38.86,48.65,57.70,68.64,76.26
ALL INDIA,18.33,28.30,34.45,43.57,52.21,64.84,72.99
